Turn,Happiness,Load
0,428.0,253.0
1,428.0,253.0
2,428.0,253.0
3,428.0,253.0
4,428.0,274.0
5,431.0,302.0
6,451.0,346.0
7,452.0,370.0
8,444.0,396.0
9,452.0,406.0
10,462.0,400.0
11,399.0,409.0
12,402.0,395.0
13,474.0,390.0
14,463.0,395.0
15,462.0,399.0
16,456.0,413.0
17,457.0,400.0
18,460.0,400.0
19,460.0,409.0
20,485.0,399.0
21,473.0,398.0
22,471.0,390.0
23,478.0,392.0
24,478.0,401.0
25,460.0,400.0
26,464.0,390.0
27,487.0,401.0
28,489.0,411.0
29,474.0,420.0
30,489.0,414.0
31,481.0,419.0
32,480.0,428.0
33,483.0,387.0
34,460.0,402.0
35,452.0,407.0
36,437.0,421.0
37,438.0,418.0
38,439.0,387.0
39,416.0,396.0
40,428.0,398.0
41,440.0,398.0
42,425.0,410.0
43,432.0,406.0
44,410.0,379.0
45,393.0,411.0
46,374.0,418.0
47,371.0,412.0
48,370.0,371.0
49,281.0,387.0
50,276.0,416.0
51,272.0,429.0
52,268.0,415.0
53,275.0,394.0
54,275.0,397.0
55,279.0,407.0
56,292.0,398.0
57,292.0,406.0
58,305.0,408.0
59,317.0,402.0
60,329.0,407.0
61,331.0,414.0
62,271.0,404.0
63,278.0,404.0
64,297.0,407.0
65,315.0,410.0
66,335.0,409.0
67,290.0,407.0
68,294.0,408.0
69,281.0,418.0
70,296.0,418.0
71,293.0,409.0
72,307.0,409.0
73,307.0,400.0
74,311.0,400.0
75,311.0,400.0
76,311.0,398.0
77,347.0,391.0
78,371.0,394.0
79,363.0,399.0
80,398.0,394.0
81,396.0,413.0
82,408.0,435.0
83,423.0,427.0
84,433.0,376.0
85,485.0,383.0
86,499.0,391.0
87,483.0,394.0
88,497.0,393.0
89,493.0,401.0
90,495.0,403.0
91,505.0,403.0
92,516.0,410.0
93,515.0,403.0
94,490.0,430.0
95,486.0,443.0
96,485.0,428.0
97,479.0,420.0
98,481.0,408.0
99,492.0,397.0
100,489.0,403.0
101,495.0,397.0
102,502.0,405.0
103,484.0,415.0
104,478.0,421.0
105,476.0,420.0
106,480.0,413.0
107,484.0,413.0
108,484.0,416.0
109,491.0,418.0
110,501.0,419.0
111,507.0,410.0
112,499.0,403.0
113,502.0,406.0
114,491.0,392.0
115,460.0,395.0
116,462.0,415.0
117,490.0,405.0
118,495.0,411.0
119,470.0,437.0
120,462.0,404.0
121,461.0,408.0
122,469.0,406.0
123,462.0,415.0
124,462.0,412.0
125,456.0,407.0
126,433.0,400.0
127,457.0,401.0
128,444.0,403.0
129,456.0,400.0
130,450.0,398.0
131,447.0,402.0
132,436.0,406.0
133,432.0,377.0
134,151.0,393.0
135,163.0,406.0
136,209.0,401.0
137,227.0,409.0
138,229.0,411.0
139,242.0,418.0
140,246.0,416.0
141,248.0,416.0
142,248.0,416.0
143,248.0,416.0
