Turn,Happiness,Load
0,0.0,153.0
1,0.0,153.0
2,0.0,153.0
3,0.0,153.0
4,0.0,153.0
5,0.0,179.0
6,3.0,179.0
7,3.0,179.0
8,3.0,179.0
9,3.0,179.0
10,3.0,179.0
11,3.0,186.0
12,7.0,186.0
13,7.0,186.0
14,7.0,189.0
15,10.0,189.0
16,10.0,189.0
17,10.0,196.0
18,13.0,196.0
19,13.0,199.0
20,15.0,199.0
21,15.0,199.0
22,15.0,199.0
23,15.0,199.0
24,15.0,199.0
25,15.0,199.0
26,15.0,199.0
27,15.0,199.0
28,15.0,199.0
29,15.0,199.0
30,15.0,199.0
31,15.0,199.0
32,15.0,199.0
33,15.0,199.0
34,15.0,199.0
35,15.0,199.0
36,15.0,199.0
37,15.0,199.0
38,15.0,199.0
39,15.0,199.0
40,15.0,199.0
41,15.0,199.0
42,15.0,199.0
43,15.0,199.0
44,15.0,199.0
45,15.0,199.0
46,15.0,207.0
47,15.0,207.0
48,15.0,207.0
49,15.0,207.0
50,15.0,207.0
51,15.0,207.0
52,15.0,207.0
53,15.0,207.0
54,15.0,207.0
55,15.0,207.0
56,15.0,207.0
57,15.0,207.0
58,15.0,207.0
59,15.0,207.0
60,15.0,207.0
61,15.0,207.0
62,15.0,207.0
63,15.0,207.0
64,15.0,207.0
65,15.0,207.0
66,15.0,207.0
67,15.0,207.0
68,15.0,207.0
69,15.0,207.0
70,15.0,207.0
71,15.0,207.0
72,15.0,207.0
73,15.0,207.0
74,15.0,207.0
75,15.0,207.0
76,15.0,207.0
77,15.0,207.0
78,15.0,207.0
79,15.0,207.0
80,15.0,207.0
81,15.0,207.0
82,15.0,207.0
83,15.0,207.0
84,15.0,207.0
85,15.0,207.0
86,15.0,207.0
87,15.0,207.0
88,15.0,207.0
89,15.0,207.0
90,15.0,207.0
91,15.0,207.0
92,15.0,207.0
93,15.0,207.0
94,15.0,207.0
95,15.0,207.0
96,15.0,207.0
97,15.0,207.0
98,15.0,207.0
99,15.0,207.0
100,15.0,207.0
101,15.0,207.0
102,15.0,207.0
103,15.0,207.0
104,15.0,207.0
105,15.0,207.0
106,15.0,207.0
107,15.0,207.0
108,15.0,207.0
109,15.0,207.0
110,15.0,207.0
111,15.0,207.0
112,15.0,207.0
113,15.0,207.0
114,15.0,207.0
115,15.0,207.0
116,15.0,207.0
117,15.0,207.0
118,15.0,207.0
119,15.0,207.0
120,15.0,207.0
121,15.0,207.0
122,15.0,207.0
123,15.0,207.0
124,15.0,207.0
125,15.0,207.0
126,15.0,207.0
127,15.0,207.0
128,15.0,207.0
129,15.0,207.0
130,15.0,207.0
131,15.0,207.0
132,15.0,207.0
133,15.0,207.0
134,15.0,207.0
135,15.0,207.0
136,15.0,207.0
137,15.0,207.0
138,15.0,207.0
139,15.0,207.0
140,15.0,196.0
141,6.0,168.0
142,0.0,168.0
143,0.0,168.0
