Turn,Happiness,Load
0,0.0,246.0
1,0.0,246.0
2,0.0,246.0
3,0.0,257.0
4,6.0,280.0
5,7.0,298.0
6,16.0,345.0
7,23.0,362.0
8,25.0,369.0
9,32.0,369.0
10,32.0,389.0
11,44.0,411.0
12,242.0,408.0
13,246.0,398.0
14,247.0,404.0
15,238.0,407.0
16,424.0,405.0
17,432.0,405.0
18,436.0,401.0
19,449.0,397.0
20,452.0,398.0
21,460.0,398.0
22,460.0,397.0
23,475.0,352.0
24,482.0,359.0
25,475.0,377.0
26,505.0,391.0
27,493.0,417.0
28,496.0,390.0
29,498.0,404.0
30,511.0,419.0
31,500.0,424.0
32,506.0,380.0
33,506.0,378.0
34,497.0,367.0
35,505.0,390.0
36,494.0,393.0
37,486.0,402.0
38,492.0,393.0
39,491.0,393.0
40,465.0,389.0
41,474.0,406.0
42,449.0,379.0
43,438.0,399.0
44,430.0,380.0
45,442.0,398.0
46,433.0,380.0
47,421.0,385.0
48,423.0,389.0
49,416.0,389.0
50,403.0,368.0
51,376.0,369.0
52,410.0,395.0
53,394.0,414.0
54,355.0,419.0
55,358.0,414.0
56,368.0,417.0
57,354.0,417.0
58,361.0,404.0
59,371.0,405.0
60,363.0,407.0
61,355.0,409.0
62,355.0,407.0
63,365.0,373.0
64,384.0,389.0
65,368.0,370.0
66,395.0,369.0
67,439.0,370.0
68,401.0,381.0
69,391.0,409.0
70,395.0,414.0
71,390.0,370.0
72,420.0,404.0
73,447.0,399.0
74,446.0,390.0
75,468.0,392.0
76,476.0,403.0
77,476.0,393.0
78,457.0,400.0
79,438.0,404.0
80,458.0,402.0
81,478.0,391.0
82,488.0,400.0
83,495.0,400.0
84,495.0,397.0
85,493.0,399.0
86,486.0,395.0
87,490.0,394.0
88,490.0,398.0
89,521.0,364.0
90,566.0,377.0
91,577.0,392.0
92,567.0,399.0
93,520.0,401.0
94,537.0,399.0
95,538.0,401.0
96,539.0,400.0
97,527.0,394.0
98,529.0,374.0
99,538.0,393.0
100,511.0,400.0
101,522.0,404.0
102,528.0,383.0
103,562.0,400.0
104,544.0,390.0
105,552.0,363.0
106,515.0,391.0
107,529.0,387.0
108,533.0,396.0
109,507.0,377.0
110,587.0,405.0
111,576.0,401.0
112,538.0,400.0
113,532.0,406.0
114,528.0,395.0
115,532.0,402.0
116,551.0,411.0
117,546.0,418.0
118,547.0,413.0
119,546.0,409.0
120,549.0,410.0
121,546.0,388.0
122,549.0,363.0
123,555.0,384.0
124,457.0,399.0
125,471.0,395.0
126,463.0,393.0
127,461.0,398.0
128,456.0,404.0
129,467.0,408.0
130,459.0,412.0
131,452.0,412.0
132,455.0,409.0
133,456.0,326.0
134,474.0,354.0
135,470.0,355.0
136,480.0,348.0
137,480.0,376.0
138,486.0,380.0
139,491.0,380.0
140,491.0,308.0
141,489.0,308.0
142,489.0,308.0
143,489.0,308.0
